,X,Y,time,distance,ts,dt,speed_m_s,speed_kmh
0,-0.016998164,51.468991181,2025/01/14 07:27:13+00,,2025-01-14 07:27:13+00:00,,,
1,-0.017009899,51.468999814,2025/01/14 07:27:14+00,1.619934569138618,2025-01-14 07:27:14+00:00,1.0,1.619934569138618,5.831764448899025
2,-0.01702155,51.469008364,2025/01/14 07:27:15+00,1.6069428783921158,2025-01-14 07:27:15+00:00,1.0,1.6069428783921158,5.784994362211617
3,-0.017037559,51.469022445,2025/01/14 07:27:16+00,2.3707285759780965,2025-01-14 07:27:16+00:00,1.0,2.3707285759780965,8.534622873521148
4,-0.017053653,51.469036527,2025/01/14 07:27:17+00,2.37790693165683,2025-01-14 07:27:17+00:00,1.0,2.37790693165683,8.560464953964589
5,-0.017072093,51.469054129,2025/01/14 07:27:18+00,2.8346288603119794,2025-01-14 07:27:18+00:00,1.0,2.8346288603119794,10.204663897123126
6,-0.017090449,51.469071815,2025/01/14 07:27:19+00,2.8343525821915225,2025-01-14 07:27:19+00:00,1.0,2.8343525821915225,10.203669295889481
7,-0.017113583,51.469092099,2025/01/14 07:27:20+00,3.421160124069303,2025-01-14 07:27:20+00:00,1.0,3.421160124069303,12.316176446649491
8,-0.017136633,51.469112383,2025/01/14 07:27:21+00,3.414142614191566,2025-01-14 07:27:21+00:00,1.0,3.414142614191566,12.290913411089639
9,-0.017163372,51.469134344,2025/01/14 07:27:22+00,3.847504500070936,2025-01-14 07:27:22+00:00,1.0,3.847504500070936,13.85101620025537
10,-0.017190194,51.469156304,2025/01/14 07:27:23+00,3.8545705538496766,2025-01-14 07:27:23+00:00,1.0,3.8545705538496766,13.876453993858837
11,-0.017221542,51.469176924,2025/01/14 07:27:24+00,4.172227857315642,2025-01-14 07:27:24+00:00,1.0,4.172227857315642,15.020020286336312
12,-0.017252974,51.469197627,2025/01/14 07:27:25+00,4.185104055907824,2025-01-14 07:27:25+00:00,1.0,4.185104055907824,15.066374601268167
13,-0.017290944,51.469213385,2025/01/14 07:27:26+00,4.571227953477866,2025-01-14 07:27:26+00:00,1.0,4.571227953477866,16.456420632520317
14,-0.017329082,51.469229311,2025/01/14 07:27:27+00,4.595653490756029,2025-01-14 07:27:27+00:00,1.0,4.595653490756029,16.544352566721706
15,-0.017370991,51.469239704,2025/01/14 07:27:28+00,4.80122480657547,2025-01-14 07:27:28+00:00,1.0,4.80122480657547,17.28440930367169
16,-0.017412985,51.469250098,2025/01/14 07:27:29+00,4.81042575066384,2025-01-14 07:27:29+00:00,1.0,4.81042575066384,17.317532702389823
17,-0.01745305,51.469256887,2025/01/14 07:27:30+00,4.518531057038392,2025-01-14 07:27:30+00:00,1.0,4.518531057038392,16.26671180533821
18,-0.017493283,51.469263844,2025/01/14 07:27:31+00,4.540095981194821,2025-01-14 07:27:31+00:00,1.0,4.540095981194821,16.344345532301357
19,-0.017530834,51.469268203,2025/01/14 07:27:32+00,4.203518977023714,2025-01-14 07:27:32+00:00,1.0,4.203518977023714,15.132668317285372
20,-0.017568553,51.469272645,2025/01/14 07:27:33+00,4.223145140823614,2025-01-14 07:27:33+00:00,1.0,4.223145140823614,15.20332250696501
21,-0.017605685,51.469272729,2025/01/14 07:27:34+00,4.128900581047178,2025-01-14 07:27:34+00:00,1.0,4.128900581047178,14.864042091769841
22,-0.0176429,51.469272813,2025/01/14 07:27:35+00,4.1381297363973735,2025-01-14 07:27:35+00:00,1.0,4.1381297363973735,14.897267051030544
23,-0.017678188,51.469267113,2025/01/14 07:27:36+00,3.974706072925961,2025-01-14 07:27:36+00:00,1.0,3.974706072925961,14.30894186253346
24,-0.01771356,51.469261497,2025/01/14 07:27:37+00,3.9824519049114118,2025-01-14 07:27:37+00:00,1.0,3.9824519049114118,14.336826857681082
25,-0.017748093,51.469253199,2025/01/14 07:27:38+00,3.9491968706389544,2025-01-14 07:27:38+00:00,1.0,3.9491968706389544,14.217108734300236
26,-0.017782627,51.469244901,2025/01/14 07:27:39+00,3.949304988053295,2025-01-14 07:27:39+00:00,1.0,3.949304988053295,14.217497956991862
27,-0.017818585,51.469233166,2025/01/14 07:27:40+00,4.20588541126738,2025-01-14 07:27:40+00:00,1.0,4.20588541126738,15.141187480562566
28,-0.017854543,51.469221516,2025/01/14 07:27:41+00,4.20296267491876,2025-01-14 07:27:41+00:00,1.0,4.20296267491876,15.130665629707538
29,-0.017892933,51.469205339,2025/01/14 07:27:42+00,4.632289631283827,2025-01-14 07:27:42+00:00,1.0,4.632289631283827,16.67624267262178
30,-0.017931322,51.469189078,2025/01/14 07:27:43+00,4.6358222657413455,2025-01-14 07:27:43+00:00,1.0,4.6358222657413455,16.688960156668845
31,-0.0179708,51.469171476,2025/01/14 07:27:44+00,4.806326401219802,2025-01-14 07:27:44+00:00,1.0,4.806326401219802,17.302775044391286
32,-0.018010195,51.469154041,2025/01/14 07:27:45+00,4.790353350298727,2025-01-14 07:27:45+00:00,1.0,4.790353350298727,17.24527206107542
33,-0.018048668,51.469139792,2025/01/14 07:27:46+00,4.561982033286034,2025-01-14 07:27:46+00:00,1.0,4.561982033286034,16.423135319829722
34,-0.018087225,51.46912571,2025/01/14 07:27:47+00,4.5643383548847005,2025-01-14 07:27:47+00:00,1.0,4.5643383548847005,16.431618077584922
35,-0.018124189,51.469116407,2025/01/14 07:27:48+00,4.238384065276501,2025-01-14 07:27:48+00:00,1.0,4.238384065276501,15.258182634995402
36,-0.01816107,51.469107186,2025/01/14 07:27:49+00,4.227213734148756,2025-01-14 07:27:49+00:00,1.0,4.227213734148756,15.217969442935521
37,-0.018195184,51.469103415,2025/01/14 07:27:50+00,3.8164091916068883,2025-01-14 07:27:50+00:00,1.0,3.8164091916068883,13.739073089784798
38,-0.018229382,51.469099727,2025/01/14 07:27:51+00,3.824692589176457,2025-01-14 07:27:51+00:00,1.0,3.824692589176457,13.768893321035247
39,-0.018261988,51.469102409,2025/01/14 07:27:52+00,3.6378663110493683,2025-01-14 07:27:52+00:00,1.0,3.6378663110493683,13.096318719777726
40,-0.018294677,51.469105175,2025/01/14 07:27:53+00,3.6478401558561195,2025-01-14 07:27:53+00:00,1.0,3.6478401558561195,13.132224561082031
41,-0.018326864,51.469112802,2025/01/14 07:27:54+00,3.6781394126998954,2025-01-14 07:27:54+00:00,1.0,3.6781394126998954,13.241301885719624
42,-0.01835905,51.46912043,2025/01/14 07:27:55+00,3.67805685529449,2025-01-14 07:27:55+00:00,1.0,3.67805685529449,13.241004679060165
43,-0.018394673,51.469128225,2025/01/14 07:27:56+00,4.054820460682253,2025-01-14 07:27:56+00:00,1.0,4.054820460682253,14.59735365845611
44,-0.018430296,51.46913602,2025/01/14 07:27:57+00,4.05482046064527,2025-01-14 07:27:57+00:00,1.0,4.05482046064527,14.597353658322971
45,-0.018467763,51.469144234,2025/01/14 07:27:58+00,4.265084130509151,2025-01-14 07:27:58+00:00,1.0,4.265084130509151,15.354302869832944
46,-0.018505231,51.469152365,2025/01/14 07:27:59+00,4.263225926780483,2025-01-14 07:27:59+00:00,1.0,4.263225926780483,15.347613336409738
47,-0.018539177,51.469162842,2025/01/14 07:28:00+00,3.9503137144792904,2025-01-14 07:28:00+00:00,1.0,3.9503137144792904,14.221129372125446
48,-0.01857304,51.46917332,2025/01/14 07:28:01+00,3.941528811733172,2025-01-14 07:28:01+00:00,1.0,3.941528811733172,14.18950372223942
49,-0.018604556,51.46918782,2025/01/14 07:28:02+00,3.857531717128722,2025-01-14 07:28:02+00:00,1.0,3.857531717128722,13.8871141816634
50,-0.018636156,51.469202321,2025/01/14 07:28:03+00,3.8660654342826235,2025-01-14 07:28:03+00:00,1.0,3.8660654342826235,13.917835563417444
51,-0.018665995,51.469220091,2025/01/14 07:28:04+00,3.8617451932349924,2025-01-14 07:28:04+00:00,1.0,3.8617451932349924,13.902282695645972
52,-0.018695835,51.469238028,2025/01/14 07:28:05+00,3.871374828279582,2025-01-14 07:28:05+00:00,1.0,3.871374828279582,13.936949381806496
53,-0.018726345,51.469257725,2025/01/14 07:28:06+00,4.038124354716676,2025-01-14 07:28:06+00:00,1.0,4.038124354716676,14.537247676980035
54,-0.018756939,51.469277423,2025/01/14 07:28:07+00,4.046034867330485,2025-01-14 07:28:07+00:00,1.0,4.046034867330485,14.565725522389748
55,-0.018787868,51.469298378,2025/01/14 07:28:08+00,4.154161233386852,2025-01-14 07:28:08+00:00,1.0,4.154161233386852,14.954980440192669
56,-0.018818881,51.469319416,2025/01/14 07:28:09+00,4.16707132745688,2025-01-14 07:28:09+00:00,1.0,4.16707132745688,15.00145677884477
57,-0.018853918,51.469336264,2025/01/14 07:28:10+00,4.3229613634374955,2025-01-14 07:28:10+00:00,1.0,4.3229613634374955,15.562660908374983
58,-0.018889122,51.469353279,2025/01/14 07:28:11+00,4.347752643502952,2025-01-14 07:28:11+00:00,1.0,4.347752643502952,15.651909516610628
59,-0.018929942,51.46936384,2025/01/14 07:28:12+00,4.688428441970585,2025-01-14 07:28:12+00:00,1.0,4.688428441970585,16.878342391094105
60,-0.018970761,51.469374318,2025/01/14 07:28:13+00,4.6860175875759715,2025-01-14 07:28:13+00:00,1.0,4.6860175875759715,16.8696633152735
61,-0.019014431,51.469380772,2025/01/14 07:28:14+00,4.908626972245831,2025-01-14 07:28:14+00:00,1.0,4.908626972245831,17.671057100084994
62,-0.019058185,51.469387393,2025/01/14 07:28:15+00,4.920611271999521,2025-01-14 07:28:15+00:00,1.0,4.920611271999521,17.714200579198277
63,-0.019102022,51.469392087,2025/01/14 07:28:16+00,4.902317105915646,2025-01-14 07:28:16+00:00,1.0,4.902317105915646,17.648341581296325
64,-0.019145943,51.469396781,2025/01/14 07:28:17+00,4.91160448909006,2025-01-14 07:28:17+00:00,1.0,4.91160448909006,17.681776160724215
65,-0.01918626,51.469399882,2025/01/14 07:28:18+00,4.496287118742132,2025-01-14 07:28:18+00:00,1.0,4.496287118742132,16.186633627471675
66,-0.019226577,51.469402984,2025/01/14 07:28:19+00,4.496295647506511,2025-01-14 07:28:19+00:00,1.0,4.496295647506511,16.18666433102344
67,-0.019264799,51.469404995,2025/01/14 07:28:20+00,4.255970971278511,2025-01-14 07:28:20+00:00,1.0,4.255970971278511,15.321495496602642
68,-0.019302936,51.469407091,2025/01/14 07:28:21+00,4.247040672820823,2025-01-14 07:28:21+00:00,1.0,4.247040672820823,15.289346422154964
69,-0.019341158,51.469408767,2025/01/14 07:28:22+00,4.254176441096805,2025-01-14 07:28:22+00:00,1.0,4.254176441096805,15.315035187948498
70,-0.019379463,51.469410527,2025/01/14 07:28:23+00,4.263815279170559,2025-01-14 07:28:23+00:00,1.0,4.263815279170559,15.349735005014011
